vente_id;date_mutation;nature_mutation;valeur_fonciere
604;2020-02-24 00:00:00;Vente;175000
605;2020-02-14 00:00:00;Vente;194460
606;2020-02-17 00:00:00;Vente;274102
607;2020-01-31 00:00:00;Vente;205250
608;2020-02-28 00:00:00;Vente;149450
609;2020-02-25 00:00:00;Vente;136500
610;2020-02-04 00:00:00;Vente;211500
611;2020-02-11 00:00:00;Vente;43560
612;2020-02-14 00:00:00;Vente;291230
613;2020-02-10 00:00:00;Vente;153600
614;2020-02-17 00:00:00;Vente;409000
615;2020-02-06 00:00:00;Vente;138500
616;2020-02-29 00:00:00;Vente;302200
617;2020-02-20 00:00:00;Vente;234820
618;2020-02-21 00:00:00;Vente;417145
619;2020-02-13 00:00:00;Vente;309800
620;2020-02-12 00:00:00;Vente;1076000
621;2020-02-12 00:00:00;Vente;135500
622;2020-01-15 00:00:00;Vente;144400
623;2020-01-21 00:00:00;Vente;238000
624;2020-02-27 00:00:00;Vente;120625
625;2020-02-17 00:00:00;Vente;194030
626;2020-02-21 00:00:00;Vente;532500
627;2020-03-04 00:00:00;Vente;357100
628;2020-02-19 00:00:00;Vente;168782,9
