adresse_id;type_voie;nom_voie;code_postal;nom_commune;code_departement
405;AV;MARCEL ANDRE;4300;FORCALQUIER;4
406;AV;REINE DES ALPES;4400;BARCELONNETTE;4
407;;LE SEIGNUS BAS;4260;ALLOS;4
408;PL;GENERAL DE GAULLE;4000;DIGNE-LES-BAINS;4
409;;STATION DU GRAND PUY;4140;SEYNE;4
410;CHE;DES PASQUIERS;4400;BARCELONNETTE;4
411;PL;DU FOUR;4230;SAINT-ETIENNE-LES-ORGUES;4
412;;LE VILLAGE;4120;DEMANDOLX;4
413;;LE VILLAGE;4330;BARREME;4
414;BD;CHARLES DE GAULLE;4100;MANOSQUE;4
415;RES;LA TOVIERE;4400;UVERNET-FOURS;4
416;RES;LES MELEZES ROI SOLEIL;4400;ENCHASTRAYES;4
417;RES;LES MELEZES ROI SOLEIL;4400;ENCHASTRAYES;4
418;RES;LES MELEZES ROI SOLEIL;4400;ENCHASTRAYES;4
419;;LES AUCHES;4260;ALLOS;4
420;RUE;TRAVERSIERE;4400;BARCELONNETTE;4
421;;LA LUQUECE;4100;MANOSQUE;4
422;AV;JEAN GIONO;4100;MANOSQUE;4
423;;LE SEIGNUS BAS;4260;ALLOS;4
424;RUE;DU MITAN;4120;CASTELLANE;4
425;RUE;DE COCODY;4850;JAUSIERS;4
426;RES;LA SAPINIERE;4400;UVERNET-FOURS;4
427;;LES PLAINES;4800;GREOUX-LES-BAINS;4
428;RES;LA ROCHAILLE;4400;UVERNET-FOURS;4
429;;LE PONT;4800;SAINT-MARTIN-DE-BROMES;4
430;CRS;DU TRIBUNAL;4000;DIGNE-LES-BAINS;4
431;BD;GASSENDI;4000;DIGNE-LES-BAINS;4
432;BD;ELEMIR BOURGES;4100;MANOSQUE;4
433;;PONT DE LABRAU;4260;ALLOS;4
434;CHE;DE VILLEVIEILLE;4400;BARCELONNETTE;4
435;;LES AUCHES;4260;ALLOS;4
436;;LES CHABRANDS;4210;VALENSOLE;4
437;;LE CLOS DE L EDEN;4800;GREOUX-LES-BAINS;4
438;CHE;DE STE ANNETTE;4800;GREOUX-LES-BAINS;4
439;CHE;DU GALOUBET;4700;ORAISON;4
440;RUE;DES EAUX CHAUDES;4800;GREOUX-LES-BAINS;4
441;;LE SEIGNUS BAS;4260;ALLOS;4
442;AV;DES SAVELS;4100;MANOSQUE;4
443;RUE;GRANDE;4140;SEYNE;4
444;MTE;SAINT CHARLES;4000;DIGNE-LES-BAINS;4
445;;LE PONT;4800;SAINT-MARTIN-DE-BROMES;4
446;RUE;DE L HUBAC;4000;DIGNE-LES-BAINS;4
447;LOT;LES LOUVES;4180;VILLENEUVE;4
448;;LES PLAINES;4800;GREOUX-LES-BAINS;4
449;RES;LE MONOIKOS;4400;UVERNET-FOURS;4
450;LOT;LES BALCONS DU SOLEIL;4100;MANOSQUE;4
451;RES;LE MONOIKOS;4400;UVERNET-FOURS;4
452;RUE;DE LA GRANDE FONTAINE;4160;L ESCALE;4
453;AV;JEAN JAURES;4200;SISTERON;4
454;;RAVEL;5300;LARAGNE-MONTEGLIN;5
455;;PEYRE CHOUSSOUS;5260;SAINT-MICHEL-DE-CHAILLOL;5
456;;BARBA;5230;MONTGARDIN;5
457;ESP;DESPIERRE;5560;VARS;5
